model,n_trained,accuracy,psc,nsc,psc_count,nsc_count
meta-llama_Llama-3.2-3B_uiortholora_tr3000_uiortholora_s256_v64,3000,0.16266666666666665,2195.2,1270.0,2619,1485
meta-llama_Llama-3.2-3B_uiortholora_tr4000_uiortholora_s256_v64,4000,0.17785,2330.0,2258.6000000000004,2743,2567
meta-llama_Llama-3.2-3B_uiortholora_tr5000_uiortholora_s256_v64,5000,0.184,2430.8,3704.0,2837,4074
