metric,family,method,n,mean,sd,min,max
retention_broad,frc,pissa,4,22.868,0.834,22.11,23.8
retention_broad,frm,lora,3,27.093,0.434,26.63,27.49
retention_broad,frm,lora_null,4,28.345,1.29,27.33,30.17
retention_broad,frm,lorawd,105,31.115,3.99,19.68,35.55
retention_broad,frm,milora,12,26.806,4.672,20.2,32.75
retention_broad,frm,clora,10,27.355,0.515,26.51,28.1
retention_broad,frm,dora,3,26.693,0.021,26.67,26.71
retention_broad,frm,sclora,6,25.868,2.119,23.6,28.57
retention_broad,frm,pissa,1,21.7,,21.7,21.7
retention_broad,lrsw,corda [WITHHELD],23,28.325,5.43,19.32,35.8
retention_broad,qwsw,corda [WITHHELD],5,47.836,4.48,40.29,51.33
retention_broad,frc,cordapp [WITHHELD],8,30.595,5.947,19.84,36.32
retention_broad,frm,cordapp [WITHHELD],3,27.623,3.369,23.74,29.77
adapt,lrsw,lora,25,66.781,15.09,25.65,80.01
adapt,lrsw,lora_null,25,59.953,17.641,17.66,80.37
adapt,lrsw,lorawd,27,61.129,24.889,0.0,81.9
adapt,lrsw,milora,25,62.352,18.085,22.31,79.86
adapt,lrsw,milorawd,2,70.1,14.312,59.98,80.22
adapt,lrsw,clora,27,57.864,20.812,0.22,80.62
adapt,lrsw,dora,25,59.263,19.659,18.73,80.47
adapt,lrsw,sclora,24,70.685,16.52,19.93,80.86
adapt,lrswm,lora,21,42.626,4.315,33.89,48.98
adapt,lrswm,lorawd,21,46.113,5.09,35.1,52.01
adapt,lrswm,milora,21,41.432,5.294,32.45,48.37
adapt,lrswm,clora,21,43.391,4.498,33.89,49.43
adapt,lrswm,dora,21,40.696,5.542,31.54,47.16
adapt,lrswm,sclora,15,52.539,7.427,39.8,59.36
adapt,qwsw,lora,23,82.347,5.375,69.62,87.47
adapt,qwsw,lora_null,21,84.421,2.565,76.54,87.17
adapt,qwsw,lorawd,23,82.764,18.061,0.01,87.77
adapt,qwsw,milora,25,83.222,5.543,69.26,87.53
adapt,qwsw,clora,23,81.603,10.757,39.02,87.39
adapt,qwsw,dora,13,82.151,6.445,64.74,86.91
adapt,qwsw,sclora,23,79.89,12.801,38.81,87.53
adapt,qwswm,lora,46,58.165,13.606,0.0,71.19
adapt,qwswm,lora_null,20,65.845,7.698,50.27,76.04
adapt,qwswm,lorawd,24,59.234,18.915,0.0,72.93
adapt,qwswm,milora,23,55.285,14.157,0.0,69.98
adapt,qwswm,clora,20,64.64,6.169,51.63,73.01
adapt,qwswm,dora,11,59.991,12.87,24.49,70.96
adapt,qwswm,sclora,20,61.002,22.009,3.26,77.86
adapt,frc,lora,16,77.132,4.498,61.18,79.91
adapt,frc,lora_null,26,68.49,13.351,37.25,80.56
