run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,fdelta,log10_fdelta,fro_total,log10_fro_total,spec_max,log10_spec_max,spec_mean,dw_sv_max,log10_dw_sv_max,dw_sv_mean,retention_mean
frc_clora_k512_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k512_lr3e4_c256,False,False,True,0.5069,-0.2950777087765982,425.9881718765362,2.629397540511012,24.215944290161133,1.3841014088362174,10.988516920804978,24.2164,1.3841095815675304,10.9874,23.6
frc_clora_k512_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k512_lr3e4_c256,False,False,True,0.5413,-0.2665619729089387,427.1351348077743,2.6305652966095656,23.06119728088379,1.3628818510498786,11.231320896744728,23.0597,1.362853652950351,11.23,22.09
frc_clora_k512_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k512_lr3e4_c256,False,False,True,0.5411,-0.2667224660674182,426.2818749195234,2.629696867271154,21.987247467041016,1.342170864435937,11.159408354759217,21.9908,1.3422410287816997,11.1581,23.18
frc_clora_k512_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k512_lr3e4_c256,False,False,True,0.502,-0.2992962828549806,427.056839490937,2.630485681663091,24.52274513244629,1.3895690844900337,11.114915603399275,24.5229,1.3895718271646922,11.1135,24.16
frc_clora_k512_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,46.0,frc_clora_k512_lr3e4_c256,False,False,True,0.5122,-0.2905604258675891,426.6054526549626,2.6300264020811275,24.91706085205078,1.3964968128259567,11.13184944242239,24.9103,1.3963789578681012,11.1303,23.52
frc_cordapp_a1r_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_a1r_lr2e5_c256,True,False,False,0.1737,-0.7602001815529014,2195.1530561364048,3.3414648066364827,1526.172607421875,3.1836036543342194,63.27351227402687,47.5914,1.6775284806619977,1.975,26.56
frc_cordapp_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.001,42.0,frc_cordapp_lr1e3_c256,True,True,False,110.3962,2.042954124593958,5161352.134216556,6.71276348990316,3773799.0,6.5767787650616825,48410.58045806885,117927.0625,5.071613480631421,1512.6628,0.0
frc_cordapp_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0001,42.0,frc_cordapp_lr1e4_c256,True,False,False,0.4333,-0.3632113109656252,15375.608787817964,4.1868323204120514,6741.32080078125,3.8287449945018026,361.16507520675657,210.7126,2.3236905059301725,11.2751,25.53
frc_cordapp_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0002,42.0,frc_cordapp_lr2e4_c256,True,False,False,0.5616,-0.2505729008782511,36846.76923242836,4.566399414419228,16697.57421875,4.222653382528863,674.655069065094,521.8422,2.7175391964316598,21.0637,22.98
frc_cordapp_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_lr2e5_c256,True,False,False,0.2288,-0.6405439798790133,3009.576373135428,3.4785053687641234,1700.6856689453125,3.230624052085658,91.24631103277208,53.0372,1.724580588235185,2.8477,26.03
