run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,straggler,on_pool,cs_avg,gsm8k,adapt_task,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,retention_mean,retention_broad,fdelta,dw_sv_max,dw_sv_mean,adapt,fro_total,spec_max,spec_mean,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,forgetting_ce,base_entropy,forgetting_kl,log10_fdelta,log10_spec_max,log10_fro_total,log10_dw_sv_max,log10_dw_sv_mean
frc_clora_k2048_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k2048_lr3e4_c256,False,False,False,True,65.73,,cs,33.6,16.83,44.37,41.04,35.66,25.22,34.3,0.349,16.2213,8.3797,65.73,293.0027290727127,16.23766326904297,8.383588828146458,5.967829816887521,18.89431685301264,0.054416378923452,0.04841763487986666,0.05280340794288566,2.170068059809116,1.8520239240816387,0.31804413572747725,-0.45717457304082015,1.2105235309163696,2.4668716654588883,1.2100856562994653,0.923228470816821
frc_clora_k2048_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k2048_lr3e4_c256,False,False,False,True,71.52,,cs,33.44,17.14,38.42,40.27,36.88,25.29,33.23,0.3359,16.6064,8.2727,71.52,293.3429075981437,16.62433433532715,8.27593711167574,6.10197041875656,19.011965913960704,0.054644889890287214,0.04880412256214,0.05281066162490215,2.1027025955595535,1.8100692116929957,0.2926333838665578,-0.4737899961583357,1.2207442644844932,2.46737559237091,1.2202754946073793,0.9176472754204583
frc_clora_k2048_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,46.0,frc_clora_k2048_lr3e4_c256,False,False,False,True,65.51,,cs,33.8,17.19,45.06,38.48,39.46,25.49,34.8,0.3528,17.6585,8.3649,65.51,293.4282804844813,17.674522399902344,8.368352434039116,6.014800522068945,18.832658700202334,0.05429122946889238,0.04844578193418733,0.052663238070718744,2.150532061984792,1.8100692116929957,0.34046285029179635,-0.45247142354021785,1.2473476871428053,2.4675019686295103,1.246953809695094,0.922460753462456
frc_clora_k256_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k256_lr3e4_c256,False,False,False,True,79.41,,cs,30.86,14.45,37.76,38.48,34.81,22.66,31.27,0.6048,26.2256,12.2046,79.41,467.1335960102941,26.2257022857666,12.205878537893295,8.57339128931401,23.820533371307075,0.06232488191075851,0.04610887219890656,0.060115338713608094,2.4068927884298286,1.8520239240816387,0.5548688643481898,-0.2183882175068499,1.4187271267893098,2.6694411026489457,1.4187254329459893,1.0865235501899555
frc_clora_k256_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k256_lr3e4_c256,False,False,False,True,78.61,,cs,32.31,16.05,40.61,38.31,37.12,24.18,32.88,0.5696,27.3839,12.1964,78.61,466.822218956205,27.4075984954834,12.19767756164074,8.637434339162308,23.719205522500133,0.06245304674245749,0.04607580391213604,0.060391962645941585,2.3140700907075584,1.8100692116929957,0.5040008790145627,-0.24443001937120004,1.4378709835201062,2.6691515186253216,1.43749530018447,1.0862316592932166
frc_clora_k256_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k256_lr3e4_c256,False,False,False,True,78.72,,cs,31.53,14.62,34.94,37.03,31.27,23.08,29.88,0.5839,26.7519,12.2391,78.72,466.34713001874815,26.75950813293457,12.240658056735992,8.511127375249147,23.623109237232025,0.06231691940708594,0.04622224913263321,0.06020362814553621,2.332762782874611,1.8100692116929957,0.5226935711816154,-0.2336615247487127,1.42747812639341,2.66870930838341,1.4273546323464912,1.087749483217675
frc_clora_k512_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k512_lr3e4_c256,False,False,False,True,78.86,,cs,31.3,15.89,42.64,37.88,32.81,23.6,32.1,0.5069,24.2164,10.9874,78.86,425.9881718765362,24.215944290161133,10.988516920804978,8.542781003726393,23.43726811987103,0.061174361427639136,0.04636041695358806,0.05882012491282207,2.3297962392640645,1.8520239240816387,0.4777723151824258,-0.2950777087765982,1.3841014088362174,2.629397540511012,1.3841095815675304,1.0408949354405703
frc_clora_k512_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k512_lr3e4_c256,False,False,False,True,79.2,,cs,30.55,13.63,32.32,37.03,32.35,22.09,29.18,0.5413,23.0597,11.23,79.2,427.1351348077743,23.06119728088379,11.231320896744728,8.143385601586635,23.238090768006128,0.06087800647115825,0.04648113653355572,0.058835673376995974,2.3062219308036,1.8100692116929957,0.4961527191106041,-0.2665619729089387,1.3628818510498786,2.6305652966095656,1.362853652950351,1.0503797562614579
frc_clora_k512_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k512_lr3e4_c256,False,False,False,True,79.74,,cs,31.41,14.94,39.92,36.35,34.66,23.18,31.46,0.5411,21.9908,11.1581,79.74,426.2818749195234,21.987247467041016,11.159408354759217,8.250801516439951,23.32356332495161,0.06093185712074445,0.04647940044592454,0.05883659083514863,2.3653134915187173,1.8520239240816387,0.5132895674370785,-0.26672246606741823,1.342170864435937,2.629696867271154,1.3422410287816995,1.0475902492820561
frc_clora_k512_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k512_lr3e4_c256,False,False,False,True,79.49,,cs,32.04,16.29,39.12,36.86,33.06,24.16,31.47,0.502,24.5229,11.1135,79.49,427.056839490937,24.52274513244629,11.114915603399277,8.383942808382479,23.418004666902824,0.06098135881376707,0.04649438319476531,0.05887233826773482,2.2962442237403358,1.8100692116929957,0.48617501204734004,-0.29929628285498067,1.3895690844900337,2.630485681663091,1.3895718271646922,1.0458508538380915
frc_clora_k512_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,46.0,frc_clora_k512_lr3e4_c256,False,False,False,True,79.64,,cs,31.76,15.29,38.71,39.42,38.4,23.52,32.72,0.5122,24.9103,11.1303,79.64,426.6054526549626,24.91706085205078,11.13184944242239,8.356628729909856,23.286665697311165,0.06086237972520662,0.046505439116803014,0.058777126384648805,2.3535711207929007,1.8100692116929957,0.5435019090999049,-0.2905604258675891,1.3964968128259567,2.6300264020811275,1.3963789578681012,1.0465068702276727
frc_cordapp_a1r_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_a1r_lr2e5_c256,True,False,False,False,37.73,,cs,34.27,18.84,42.52,46.5,39.49,26.56,36.32,0.1737,47.5914,1.975,37.73,2195.1530561364048,1526.172607421875,63.27351227402687,1.3177857739270533,2.4666083706291397,0.14025689328092328,0.050694681377571583,0.11131399445560027,1.8690609189652403,1.8520239240816387,0.017036994883601553,-0.7602001815529014,3.1836036543342194,3.3414648066364827,1.6775284806619977,0.29556709996247904
frc_cordapp_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.001,42.0,frc_cordapp_lr1e3_c256,True,True,False,False,1.44,,cs,0.0,0.0,22.95,26.54,49.72,0.0,19.84,110.3962,117927.0625,1512.6628,1.44,5161352.134216556,3773799.0,48410.58045806885,1.3213385355448637,2.010800556914527,0.20993702586218077,0.02506266160351734,0.26207407693294593,9.447271328529421,1.8520239240816387,7.5952474044477825,2.042954124593958,6.5767787650616825,6.71276348990316,5.071613480631421,3.1797421266876884
frc_cordapp_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0001,42.0,frc_cordapp_lr1e4_c256,True,False,False,False,52.1,,cs,33.05,18.02,44.36,45.31,33.44,25.53,34.84,0.4333,210.7126,11.2751,52.1,15375.608787817964,6741.32080078125,361.16507520675657,1.945331579146462,6.076634969718126,0.17789783782414273,0.03379732739748592,0.11761652366343762,2.0817783651783777,1.8520239240816387,0.22975444109673893,-0.3632113109656252,3.8287449945018026,4.1868323204120514,2.3236905059301725,1.0521204023686765
frc_cordapp_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0002,42.0,frc_cordapp_lr2e4_c256,True,False,False,False,73.51,,cs,31.53,14.44,43.58,43.43,35.3,22.98,33.66,0.5616,521.8422,21.0637,73.51,36846.76923242836,16697.57421875,674.655069065094,2.519619123756399,8.820616845370857,0.17964007190873546,0.030356999009403925,0.11640046697263537,2.062265089991276,1.8520239240816387,0.21024116590963704,-0.2505729008782511,4.222653382528863,4.5663994144192275,2.7175391964316593,1.3235346606976897
frc_cordapp_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_lr2e5_c256,True,False,False,False,52.18,,cs,33.74,18.32,43.06,45.14,38.97,26.03,35.85,0.2288,53.0372,2.8477,52.18,3009.576373135428,1700.6856689453125,91.24631103277207,1.5196606330210323,4.05184459412315,0.15181401028887195,0.04402659865983546,0.10661916751963532,1.8770420309305895,1.8520239240816387,0.025018106848950783,-0.6405439798790133,3.230624052085658,3.4785053687641234,1.724580588235185,0.4544942352432072
frc_cordapp_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0003,42.0,frc_cordapp_lr3e4_c256,True,False,False,False,78.5,,cs,31.25,13.63,41.33,40.87,33.76,22.44,32.17,0.7653,721.8481,29.7806,78.5,61202.59802237317,23100.091796875,953.8693405151367,3.281927361386587,10.176968385708232,0.14209368111473272,0.03144493298888042,0.11474815498958933,2.316933956814651,1.8520239240816387,0.46491003273301246,-0.11616828667054754,4.363613705727515,4.78676985813955,2.858445817691043,1.4739334433847322
frc_cordapp_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0005,42.0,frc_cordapp_lr5e4_c256,True,True,False,False,77.77,,cs,25.5,7.05,25.59,37.03,36.15,16.27,26.26,10.5845,20049.207,274.2,77.77,992186.0203626312,641558.3125,8775.514497184753,1.7752485260895694,3.632882341142681,0.18874111528496743,0.022709832375092803,0.25069319307824894,6.7532861304286875,1.8520239240816387,4.901262206347049,1.0246703472520045,5.807236136386755,5.996593103649432,4.302097199782389,2.438067450453494
frc_cordapp_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0007,42.0,frc_cordapp_lr7e4_c256,True,True,False,False,71.82,,cs,26.77,5.19,23.63,36.35,37.14,15.98,25.82,31.046,98342.5391,1156.7469,71.82,4091749.1411650465,3147126.5,37018.20167789459,1.2069287404943683,1.7125810360857336,0.1852963766045258,0.023465217117687336,0.3221906041730837,7.716050269976937,1.8520239240816387,5.864026345895298,1.4920056531492256,6.4979141999033105,6.6119089999307965,4.992741417121556,3.0632383442949536
frc_dora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,42.0,frc_dora_r32_lr3e4_c256,False,False,False,True,78.54,,cs,27.14,14.67,34.25,37.12,36.17,20.9,29.87,0.8973,116.6841,18.9455,78.54,620.9659489013825,116.68265533447266,18.946882620453835,7.210838771736299,20.86886329780365,0.08026786964394478,0.04583916478637464,0.073671575079553,2.5003465475859667,1.8520239240816387,0.648322623504328,-0.047062332249019415,2.067006303754352,2.793067785990291,2.0670116807864476,1.2775060714413369
frc_dora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,43.0,frc_dora_r32_lr3e4_c256,False,False,False,True,78.98,,cs,31.21,14.34,36.85,38.05,33.88,22.78,30.87,0.936,107.6163,19.0248,78.98,615.2638584601505,107.61677551269531,19.02650884091854,6.914366758444561,20.662163755285324,0.07928846398487026,0.0457085209882155,0.0731104924243888,2.443407126724521,1.8100692116929957,0.6333379150315255,-0.028724151261894745,2.0318799752776306,2.7890614047153313,2.0318780563110486,1.2793200999050054
frc_dora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,44.0,frc_dora_r32_lr3e4_c256,False,False,False,True,78.84,,cs,29.92,12.38,30.6,37.46,34.31,21.15,28.93,0.9182,144.9327,19.0177,78.84,626.4343795696302,144.93174743652344,19.01996319293976,7.232031456940945,20.87877233944694,0.08313346424811295,0.045660626672204434,0.07535828350897653,2.4675555396690863,1.8100692116929957,0.6574863279760905,-0.03706271156999801,2.1611635285096704,2.796875584375015,2.1611663828994736,1.279157992217166
