run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,forgetting_ce,base_entropy,forgetting_kl,log10_fdelta,retention_mean
frc_cordapp_a1r_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_a1r_lr2e5_c256,True,False,False,1.8690609189652403,1.8520239240816387,0.0170369948836015,-0.7602001815529014,26.56
frc_cordapp_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.001,42.0,frc_cordapp_lr1e3_c256,True,True,False,9.44727132852942,1.8520239240816387,7.5952474044477825,2.042954124593958,0.0
frc_cordapp_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0001,42.0,frc_cordapp_lr1e4_c256,True,False,False,2.0817783651783777,1.8520239240816387,0.2297544410967389,-0.3632113109656252,25.53
frc_cordapp_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0002,42.0,frc_cordapp_lr2e4_c256,True,False,False,2.062265089991276,1.8520239240816387,0.210241165909637,-0.2505729008782511,22.98
frc_cordapp_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_lr2e5_c256,True,False,False,1.8770420309305893,1.8520239240816387,0.0250181068489507,-0.6405439798790133,26.03
frc_cordapp_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0003,42.0,frc_cordapp_lr3e4_c256,True,False,False,2.316933956814651,1.8520239240816387,0.4649100327330124,-0.1161682866705475,22.44
frc_cordapp_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0005,42.0,frc_cordapp_lr5e4_c256,True,True,False,6.753286130428688,1.8520239240816387,4.901262206347049,1.0246703472520045,16.27
frc_cordapp_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0007,42.0,frc_cordapp_lr7e4_c256,True,True,False,7.716050269976937,1.8520239240816387,5.864026345895298,1.4920056531492256,15.98
frc_dora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,42.0,frc_dora_r32_lr3e4_c256,False,False,True,2.5003465475859667,1.8520239240816387,0.648322623504328,-0.0470623322490194,20.9
frc_dora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,43.0,frc_dora_r32_lr3e4_c256,False,False,True,2.443407126724521,1.810069211692996,0.6333379150315255,-0.0287241512618947,22.78
frc_dora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,44.0,frc_dora_r32_lr3e4_c256,False,False,True,2.4675555396690863,1.810069211692996,0.6574863279760905,-0.037062711569998,21.15
frc_lora_l2_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_l2_lr3e4_c256,False,False,True,2.4559773847956423,1.8520239240816387,0.6039534607140036,-0.1443597191098548,21.7
frc_lora_l2_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_l2_lr3e4_c256,False,False,True,2.4468293970340933,1.810069211692996,0.6367601853410976,-0.1455117749555695,22.57
frc_lora_l2_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_l2_lr3e4_c256,False,False,True,2.423823566829465,1.810069211692996,0.6137543551364695,-0.1405614645449437,23.0
frc_lora_l2_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_l2_lr3e4_c256,False,False,True,2.416584319112975,1.810069211692996,0.6065151074199793,-0.1347775437098209,23.38
frc_lora_null_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,42.0,frc_lora_null_lr1e3_c256,False,True,True,10.711468119036727,1.8520239240816387,8.85944419495509,0.8853555651186297,2.48
frc_lora_null_lr1e3_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,43.0,frc_lora_null_lr1e3_c256,False,True,True,9.211153445183632,1.810069211692996,7.401084233490637,0.9042285163400784,1.38
frc_lora_null_lr1e3_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,44.0,frc_lora_null_lr1e3_c256,False,True,True,5.80027620845118,1.810069211692996,3.990206996758184,0.8172347304254982,1.08
frc_lora_null_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,42.0,frc_lora_null_lr1e4_c256,False,False,True,2.124705683811734,1.8520239240816387,0.2726817597300952,-0.507938395487401,24.08
frc_lora_null_lr1e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,43.0,frc_lora_null_lr1e4_c256,False,False,True,2.077451387400753,1.810069211692996,0.2673821757077574,-0.5015515968260004,24.39
