source_file,base_model,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-4,512.0,500,500,0.33120000000000005,4050,4013.3,84,75.60000000000004,google_gemma-3-12b-it_randlora_tr500_randlora_r512_lr1e-4
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-5,512.0,500,500,0.0148,11,10.200000000000001,17,15.3,google_gemma-3-12b-it_randlora_tr500_randlora_r512_lr1e-5
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-4,512.0,1000,1000,0.22319999999999998,13691,13571.599999999999,38,34.199999999999996,google_gemma-3-12b-it_randlora_tr1000_randlora_r512_lr1e-4
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-5,512.0,1000,1000,0.062,136,131.8,74,66.60000000000002,google_gemma-3-12b-it_randlora_tr1000_randlora_r512_lr1e-5
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-3,512.0,500,1846,0.05926327193932828,27217,27154.199999999997,7,6.300000000000001,google_gemma-3-12b-it_randlora_tr500_randlora_r512_lr1e-3
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-3,512.0,1000,2000,0.0727,28214,28156.1,9,8.1,google_gemma-3-12b-it_randlora_tr1000_randlora_r512_lr1e-3
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-4,512.0,2000,2000,0.0702,26125,26013.3,5,4.5,google_gemma-3-12b-it_randlora_tr2000_randlora_r512_lr1e-4
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-5,512.0,2000,2000,0.18145,581,570.6,91,81.90000000000003,google_gemma-3-12b-it_randlora_tr2000_randlora_r512_lr1e-5
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-4,512.0,3000,3000,0.036533333333333334,29340,29264.199999999997,6,5.4,google_gemma-3-12b-it_randlora_tr3000_randlora_r512_lr1e-4
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-5,512.0,3000,3000,0.22923333333333332,2734,2700.0,79,71.10000000000005,google_gemma-3-12b-it_randlora_tr3000_randlora_r512_lr1e-5
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-3,512.0,2000,4000,0.046450000000000005,30061,30032.1,5,4.5,google_gemma-3-12b-it_randlora_tr2000_randlora_r512_lr1e-3
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-3,512.0,4000,4000,0.048975000000000005,30383,30356.7,3,2.7,google_gemma-3-12b-it_randlora_tr4000_randlora_r512_lr1e-3
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-4,512.0,4000,4000,0.042525,29599,29531.899999999998,5,4.5,google_gemma-3-12b-it_randlora_tr4000_randlora_r512_lr1e-4
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-5,512.0,4000,4000,0.2630952380952381,820,810.5,23,20.699999999999992,google_gemma-3-12b-it_randlora_tr4000_randlora_r512_lr1e-5
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-3,512.0,5000,5000,0.07772000000000001,29076,29041.3,7,6.300000000000001,google_gemma-3-12b-it_randlora_tr5000_randlora_r512_lr1e-3
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-4,512.0,5000,5000,0.028020000000000003,30375,30334.4,5,4.5,google_gemma-3-12b-it_randlora_tr5000_randlora_r512_lr1e-4
google_gemma-3-12b-it_scores-randlora.jsonl,gemma-3-12b-it,randlora,1e-3,512.0,3000,6000,0.032183333333333335,30477,30451.9,0,0.0,google_gemma-3-12b-it_randlora_tr3000_randlora_r512_lr1e-3
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-4,,100,100,0.008,13,12.5,16,14.4,google_gemma-3-12b-it_uiortholora_tr100_uiortholora_s256_v64_lr1e-4
