method,withheld,best_lr,k,adapt,ret,fdelta,n_seeds,seeds,collapse_flag,cut1_lr,cut1_adapt,cut1_ret,cut2_lr,cut2_adapt,cut2_ret
LoRA+wd,False,2e-4,,66.79 ± 0.79,33.57 ± 1.04,0.280,3,"42,43,44",False,2e-4,66.79 ± 0.79,33.57,2e-4,66.79 ± 0.79,33.57
LoRA,False,1e-4,,63.99 ± 0.87,31.29 ± 0.35,0.442,3,"42,43,44",False,—,none,—,1e-4,63.99 ± 0.87,31.29
MiLoRA,False,1e-4,,63.68 ± 0.80,32.44 ± 0.10,0.450,3,"42,43,44",False,1e-4,63.68 ± 0.80,32.44,1e-4,63.68 ± 0.80,32.44
LoRA-Null,False,2e-4,,61.86 ± 0.59,28.90 ± 0.63,0.886,3,"42,43,44",False,1e-4,63.76 ± 0.00 (n=1),32.15,1e-4,63.76 ± 0.00 (n=1),32.15
CLoRA,False,3e-4,k256,60.65 ± 0.40,28.63 ± 0.11,1.011,3,"42,43,44",False,—,none,—,—,none,—
SC-LoRA,False,1e-4,,60.47 ± 0.53,27.94 ± 0.52,0.856,3,"42,43,44",False,—,none,—,—,none,—
DoRA,False,3e-4,,59.19 ± 0.50,28.09 ± 1.07,2.854,3,"42,43,44",False,—,none,—,—,none,—
PiSSA,False,3e-4,,49.66 ± 0.00,7.23 ± 0.00,2.206,1,42,False,—,none,—,—,none,—
CorDA++,True,1e-4,,58.76 ± 0.00,31.56 ± 0.00,0.632,1,42,False,—,none,—,1e-4,58.76 ± 0.00 (n=1),31.56
