method,withheld,best_lr,k,adapt,ret,fdelta,n_seeds,seeds,collapse_flag,cut1_lr,cut1_adapt,cut1_ret,cut2_lr,cut2_adapt,cut2_ret
LoRA+wd,False,5e-4,,81.75 ± 0.17,25.86 ± 0.37,0.399,4,"42,43,44,45",False,5e-4,81.75 ± 0.17,25.86,5e-4,81.75 ± 0.17,25.86
SC-LoRA,False,5e-5,,80.61 ± 0.41,24.60 ± 1.85,0.376,3,"42,43,44",False,2e-5,45.97 ± 30.51*,26.43,5e-5,80.61 ± 0.41,24.60
LoRA,False,3e-4,,79.17 ± 0.20,23.86 ± 0.48,0.616,4,"42,43,44,45",False,1e-4,69.54 ± 11.30*,26.47,1e-4,69.54 ± 11.30*,26.47
LoRA-Null,False,5e-4,,78.87 ± 0.17,21.76 ± 1.32,0.702,4,"42,43,44,45",False,2e-5,70.79 ± 2.10,26.11,2e-5,70.79 ± 2.10,26.11
CLoRA,False,5e-4,k1024,78.29 ± 0.25,21.60 ± 0.39,0.645,4,"42,43,44,45",False,2e-4,66.37 ± 13.31*,25.58,3e-4,68.06 ± 8.34*,24.23
MiLoRA,False,5e-4,,77.19 ± 0.42,21.43 ± 0.87,0.852,4,"42,43,44,45",False,2e-5,67.87 ± 4.34,26.17,2e-5,67.87 ± 4.34,26.17
DoRA,False,5e-4,,76.23 ± 1.65,19.15 ± 1.39,1.226,3,"42,43,44",False,2e-4,74.29 ± 8.66*,25.20,2e-4,74.29 ± 8.66*,25.20
