method,withheld,best_lr,k,adapt,ret,fdelta,n_seeds,seeds,collapse_flag,cut1_lr,cut1_adapt,cut1_ret,cut2_lr,cut2_adapt,cut2_ret
SC-LoRA,False,5e-5,,77.23 ± 0.79,47.71 ± 0.23,0.107,3,"42,43,44",False,5e-5,77.23 ± 0.79,47.71,5e-5,77.23 ± 0.79,47.71
LoRA-Null,False,1e-3,,72.33 ± 1.33,44.76 ± 0.64,0.385,3,"42,43,44",False,2e-4,70.48 ± 4.62,47.00,2e-4,70.48 ± 4.62,47.00
CLoRA,False,1e-3,k1024,70.46 ± 0.96,39.98 ± 0.12,0.436,3,"42,43,44",False,5e-5,59.16 ± 3.25,47.40,3e-4,69.85 ± 4.46,46.02
LoRA(r32),False,5e-4,,70.44 ± 0.86,41.77 ± 2.31,0.386,2,"43,44",False,2e-4,63.28 ± 1.23,47.03,1e-4,66.14 ± 1.33,46.19
LoRA+wd,False,3e-4,,68.97 ± 3.33,47.54 ± 0.43,0.102,3,"42,43,44",False,3e-4,68.97 ± 3.33,47.54,3e-4,68.97 ± 3.33,47.54
MiLoRA,False,2e-4,,65.35 ± 4.03,46.16 ± 1.28,0.145,3,"42,43,44",False,1.5e-4,57.92 ± 0.00 (n=1),46.97,2e-4,65.35 ± 4.03,46.16
DoRA,False,2e-4,,63.91 ± 4.50,46.08 ± 0.66,0.112,2,"42,43",False,2e-5,56.14 ± 0.37,47.98,2e-4,63.91 ± 4.50,46.08
LoRA,False,1e-4,,63.48 ± 4.31,46.09 ± 1.54,0.072,3,"42,43,44",False,3e-4,61.97 ± 4.80,47.13,1e-4,63.48 ± 4.31,46.09
