source_file,base_model,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,100,100,0.28200000000000003,2915,2676.6000000000004,22,14.299999999999997,google_gemma-3-12b-it_lora_tr100_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,100,100,0.14800000000000002,143,117.0,78,53.300000000000004,google_gemma-3-12b-it_lora_tr100_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,100,246,0.01991869918699187,4504,4460.6,0,0.0,google_gemma-3-12b-it_lora_tr100_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,500,500,0.032,4531,4488.5,2,1.2,google_gemma-3-12b-it_lora_tr500_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,500,500,0.22579999999999997,1735,1514.3000000000002,40,28.1,google_gemma-3-12b-it_lora_tr500_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,1000,1000,0.027200000000000002,4522,4479.8,1,0.7,google_gemma-3-12b-it_lora_tr1000_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,1000,1000,0.034,4411,4284.200000000001,3,1.9000000000000001,google_gemma-3-12b-it_lora_tr1000_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,500,1143,0.014873140857392825,4520,4479.200000000001,1,0.9,google_gemma-3-12b-it_lora_tr500_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,1000,1147,0.05623365300784656,4470,4424.0,3,2.2,google_gemma-3-12b-it_lora_tr1000_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,2000,2000,0.0869,4189,4134.5,7,5.2,google_gemma-3-12b-it_lora_tr2000_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,2000,2000,0.016649999999999998,4499,4440.3,4,2.4,google_gemma-3-12b-it_lora_tr2000_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,2000,2291,0.02780445220427761,4522,4480.799999999999,3,2.1,google_gemma-3-12b-it_lora_tr2000_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,3000,3000,0.0411,4429,4376.6,2,1.4,google_gemma-3-12b-it_lora_tr3000_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,3000,3000,0.011633333333333336,4521,4468.6,3,1.9,google_gemma-3-12b-it_lora_tr3000_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,3000,3236,0.05754017305315204,4404,4355.5,4,2.6,google_gemma-3-12b-it_lora_tr3000_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,4000,3236,0.05509888751545118,4393,4346.5,2,1.1,google_gemma-3-12b-it_lora_tr4000_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,5000,3236,0.031829419035846726,4510,4468.599999999999,1,0.5,google_gemma-3-12b-it_lora_tr5000_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,4000,3236,0.04830037082818295,4362,4305.1,4,3.0,google_gemma-3-12b-it_lora_tr4000_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,5000,3236,0.0392150803461063,4490,4442.7,2,1.7000000000000002,google_gemma-3-12b-it_lora_tr5000_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,4000,3236,0.014740420271940669,4506,4446.9,4,2.7,google_gemma-3-12b-it_lora_tr4000_lora_r4_lr1e-5
