run,model,method,lr,seed,fdelta,ret,adapt,ret_broad,sv_max,n_k64,r_k64,n_k10,r_k10,energy,r_k64_t07,margin,perp_frac
tia1_frc_lorawd_wd0p3_lr5e4_s43,Llama,lorawd,lr5e4,s43,0.3951,25.16,80.2,32.66,42.7197,3894,0.3802734375,908,0.5675,0.43257314482470977,0.72646484375,2.297793418738505,0.94375
tia1_frc_milora_lr1e3_s43,Llama,milora,lr1e3,s43,1.5011,16.52,64.86,24.79,219.4141,5025,0.49072265625,1595,0.996875,0.9239953462034464,0.53759765625,11.80156106162696,1.0
