family,meta_learning_rate,meta_model_type,meta_num_beams,meta_num_svalues,meta_num_svectors,meta_seed,meta_target_modules,meta_torch,name_lr,name_prefix,name_scaler,name_seed,name_sigma,name_svalues,name_svectors,reproduces_paper_row_after_rounding,run_directory,run_metadata_present,run_metadata_sha256,score_BLEU,score_CIDEr,score_METEOR,score_NIST,score_ROUGE_L,scores_present,scores_sha256,system_outputs_present
uiortholora_results,,,,,,,,,0.05,,0.1,2021,0.1,256,90,,lr_0.05_svalues_256_svectors_90_seed_2021_init_sigma_0.1_init_scaler_0.1,False,,0.6767,2.4605,0.4637,8.6329,0.7104,True,e3d168c67f663653e75f3fdf3356ed1a93e1df055015851afa8f6cd50210de68,True
uiortholora_results,,,,,,,,,0.05,,0.1,31415,0.1,256,90,,lr_0.05_svalues_256_svectors_90_seed_31415_init_sigma_0.1_init_scaler_0.1,False,,0.6814,2.4551,0.4655,8.6679,0.7159,True,cecb4923c3f014584d205f25e2c1f6dac4e5569a041be9490b30280e89f89939,True
uiortholora_results,,,,,,,,,0.08,,0.1,31415,0.1,256,90,,lr_0.08_svalues_256_svectors_90_seed_31415_init_sigma_0.1_init_scaler_0.1,False,,0.6757,2.4008,0.46,8.643,0.7078,True,b56c9db2ad57e7e8cae8e7248e3e82c98d412fc8f4666b36f0d06c57b9dd2471,True
uiortholora_results,,,,,,,,,0.1,,0.1,31415,0.1,256,90,,lr_0.1_svalues_256_svectors_90_seed_31415_init_sigma_0.1_init_scaler_0.1,False,,0.0,0.0,0.0,0.0,0.0003,True,b4eebdf927c0aece87dc6a96698adb70d4303d4fca517cad9e5a535d91d5ca55,True
uiortholora_results,0.05,gpt2-medium,10,256,0,1054,"{'attn.c_proj', 'attn.c_attn', 'mlp.c_fc', 'mlp.c_proj'}",2.6.0+cu124,,,,,,,,,phase1_lr005_0.05_svalues_256_svectors_0_seed_1054_init_sigma_0.1_init_scaler_0.1,True,867435c5647d6f261e8c1f02f24a4e1688791fdf6403563bad8cdc2f5ae77895,0.6398,2.3777,0.4543,8.1725,0.7016,True,6640ced9f792d7c42a5bd10b870eab27042e9e2401bfb91a07caddb7e5214d64,False
uiortholora_results,0.05,gpt2-medium,10,256,0,2021,"{'attn.c_proj', 'attn.c_attn', 'mlp.c_fc', 'mlp.c_proj'}",2.6.0+cu124,,,,,,,,,phase1_lr005_0.05_svalues_256_svectors_0_seed_2021_init_sigma_0.1_init_scaler_0.1,True,9cc3765e28dc8ed8e3228f5c0ecdd7206c226a45cb13db441e63f2f26d61821f,0.6724,2.4489,0.463,8.5545,0.7128,True,686e8d4ed6974187e356fd5121a0566a1ed41339b1d1e9afbbe0e1d9ead7078d,False
uiortholora_results,0.05,gpt2-medium,10,256,0,31415,"{'attn.c_proj', 'attn.c_attn', 'mlp.c_fc', 'mlp.c_proj'}",2.6.0+cu124,,,,,,,,,phase1_lr005_0.05_svalues_256_svectors_0_seed_31415_init_sigma_0.1_init_scaler_0.1,True,617047001154ab8874537bcb2e041920dce6141d1cacf24b9268905650e366fb,0.6771,2.4559,0.4645,8.5941,0.7139,True,b2be048c5c4b29bb02793e1bc0c01dbd28ada31d751e9c5eec54c27b69787962,False
uiortholora_results,0.03,gpt2-medium,10,256,0,1054,"{'mlp.c_proj', 'attn.c_proj', 'attn.c_attn', 'mlp.c_fc'}",2.6.0+cu124,0.03,phase1_,0.1,1054,0.1,256,0,,phase1_lr_0.03_svalues_256_svectors_0_seed_1054_init_sigma_0.1_init_scaler_0.1,True,623217c228cb496e1ad88164d2d0d23413bdcd49477a54abdd74555c6ccd7cb9,0.6484,2.4151,0.4561,8.2971,0.7038,True,6f59a9d8c679de5170a1e2b631acf6f3b037cb756783191a2fb5b7998caf4e6c,False
uiortholora_results,0.03,gpt2-medium,10,256,0,2021,"{'mlp.c_proj', 'attn.c_proj', 'attn.c_attn', 'mlp.c_fc'}",2.6.0+cu124,0.03,phase1_,0.1,2021,0.1,256,0,,phase1_lr_0.03_svalues_256_svectors_0_seed_2021_init_sigma_0.1_init_scaler_0.1,True,b2e8bf6914d83abc4d209b6968e9d290acbcc96470b12d7834a70b5d176f9372,0.6798,2.4565,0.4656,8.6327,0.7131,True,77eabcba95c60f252ff762477170a2f08503ecc8a081f4aa1e0450f61731c2da,False
uiortholora_results,0.03,gpt2-medium,10,256,0,31415,"{'mlp.c_proj', 'attn.c_proj', 'attn.c_attn', 'mlp.c_fc'}",2.6.0+cu124,0.03,phase1_,0.1,31415,0.1,256,0,,phase1_lr_0.03_svalues_256_svectors_0_seed_31415_init_sigma_0.1_init_scaler_0.1,True,eee4b570b23797c2e69495d90fc3c011b999564355c578e855abc5b373b54d23,0.6686,2.4451,0.4623,8.5219,0.7131,True,7bf9df6c3ffbe142c4569832708000d1bad28d8dd3001e12bc09804556105b41,False
uiortholora_results,,,,,,,,,,,,,,,,,smart_lr003_size_screen_0.03_svalues_256_svectors_30_seed_17_init_sigma_0.1_init_scaler_0.1,,,,,,,,False,,
uiortholora_results,0.04,gpt2-medium,10,256,0,17,"{'mlp.c_proj', 'attn.c_proj', 'mlp.c_fc', 'attn.c_attn'}",2.6.0+cu124,,,,,,,,,smart_lr004_lr_screen_0.04_svalues_256_svectors_0_seed_17_init_sigma_0.1_init_scaler_0.1,True,87b0ce4b053b8827a70e1e87ffa5b0038ef0f835e7b2d9da9d3bee129af4cf04,0.657,2.4251,0.4589,8.3823,0.7065,True,bab3274e349709a7c4c9719486b9f044294bd89ec8bf8ae624447d6310380ff4,False
lora_results,,,,,,,,,,,,,,,,,lr_0.0002,,,,,,,,False,,
