model,n_trained,accuracy,psc,nsc,psc_count,nsc_count
meta-llama_Llama-3.2-3B_lora_tr3000_lora_r3,3000,0.0164,16.0,24853.0,16,24853
meta-llama_Llama-3.2-3B_lora_tr4000_lora_r3,4000,0.01575,18.0,25114.0,18,25114
meta-llama_Llama-3.2-3B_lora_tr5000_lora_r3,5000,0.013359999999999999,22.0,25188.0,22,25188
