model,method,lr,run,intruder_frac,intruder_energy,arm,fdelta,task,retention
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,C,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,D,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,E,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,Ep,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,F,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,A,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,B,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,C,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,D,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,E,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,Ep,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,F,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,A,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,B,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,C,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,D,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,E,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,Ep,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,F,,,
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,A,1.5011,65.69,17.6
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,B,1.1047,0.0,0.0
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,C,1.0609,70.06,20.11
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,D,1.5863,0.0,0.0
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,E,,,
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,Ep,,,
Llama-2-7B,MiLoRA (high-F),1e-3,tia1_frc_milora_lr1e3_s43,0.996875,0.9239953462034464,F,,,
