model,method,lr,run,intruder_frac,intruder_energy,arm,fdelta,task,retention
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,0.06,0.0808852651089962,A,0.1827,86.75,43.98
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,0.06,0.0808852651089962,B,0.1808,86.25,44.75
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,0.06,0.0808852651089962,C,0.1776,86.94,44.41
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,0.06,0.0808852651089962,D,0.186,86.19,44.68
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,0.06,0.0808852651089962,E,0.1777,86.75,44.95
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,0.06,0.0808852651089962,Ep,0.1093,86.88,49.98
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,0.06,0.0808852651089962,F,0.1936,80.19,43.45
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s43,0.38,0.27654224950154976,A,0.2114,85.94,44.34
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s43,0.38,0.27654224950154976,B,0.185,84.69,46.36
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s43,0.38,0.27654224950154976,C,0.1513,87.06,48.28
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s43,0.38,0.27654224950154976,D,0.2553,83.25,41.65
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s43,0.38,0.27654224950154976,E,0.1372,85.75,49.21
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s43,0.38,0.27654224950154976,Ep,0.1372,85.69,49.46
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s43,0.38,0.27654224950154976,F,0.3,9.69,3.52
Qwen2.5-7B,LoRA,5e-5,tia1_qwsw_lora_r16_lr5e5_s43,0.03,0.018203952303156256,A,0.1218,85.44,48.18
Qwen2.5-7B,LoRA,5e-5,tia1_qwsw_lora_r16_lr5e5_s43,0.03,0.018203952303156256,B,0.106,85.81,48.42
Qwen2.5-7B,LoRA,5e-5,tia1_qwsw_lora_r16_lr5e5_s43,0.03,0.018203952303156256,C,0.1067,86.38,48.82
Qwen2.5-7B,LoRA,5e-5,tia1_qwsw_lora_r16_lr5e5_s43,0.03,0.018203952303156256,D,0.1211,81.5,46.81
Qwen2.5-7B,LoRA,5e-5,tia1_qwsw_lora_r16_lr5e5_s43,0.03,0.018203952303156256,E,0.1054,86.62,49.14
Qwen2.5-7B,LoRA,5e-5,tia1_qwsw_lora_r16_lr5e5_s43,0.03,0.018203952303156256,Ep,0.0553,78.38,47.53
Qwen2.5-7B,LoRA,5e-5,tia1_qwsw_lora_r16_lr5e5_s43,0.03,0.018203952303156256,F,0.1276,85.88,47.36
Qwen2.5-7B,LoRA-Null,2e-4,tia1_qwsw_loranull_r16_lr2e4_s43,0.615,0.4384222100621888,A,0.1966,86.56,44.54
