model,n_trained,accuracy,psc,nsc,psc_count,nsc_count
meta-llama_Llama-3.2-3B_vera_tr3000_vera_r,3000,0.19986666666666664,1102.0,1950.0,1102,1950
meta-llama_Llama-3.2-3B_vera_tr4000_vera_r,4000,0.20984999999999998,1226.0,2712.0,1226,2712
meta-llama_Llama-3.2-3B_vera_tr5000_vera_r,5000,0.21988000000000002,1270.0,2783.0,1270,2783
