family,n,share_damaged,spearman_kl,rmse_kl,mae_kl,kl_form,rmse_logf,mae_logf,logf_form,rmse_comb,comb_form,auc_kl,auc_logf,seed_ret_sd
lrsw,180,0.3111111111111111,-0.8678242433495902,1.8762332604117786,1.1642437581252074,KL knee,2.9652126150717666,2.0703109569494496,logF knee,2.78807871686259,KLlog+logF,0.9959677419354839,0.9917914746543779,0.9090660573253119
lrswm,120,0.16666666666666666,-0.9107040543086398,1.3072449578638639,0.8322007569945481,KL linear,1.636945935785796,0.9212930570410334,logF knee,1.4138842615021971,KL+logF,0.9885,0.9795,0.42903240237819223
qwsw,93,0.3548387096774194,-0.7867949869215072,6.00452506739052,3.700695263636742,KL knee,7.0431201459673,6.04488279622724,logF,8.407769809564204,KLlog+logF,0.9954545454545455,1.0,2.0428664903331692
qwswm,99,0.20202020202020202,-0.5552160905294091,5.05002075421373,2.528716731196843,KL knee,6.26919199590196,4.714586263660576,logF,6.582220923892033,KLlog+logF,0.9955696202531645,1.0,1.7123495145338412
frc,275,0.32,-0.94566518055898,1.5866028931776281,1.0637031469109741,KL knee,2.3960555942053725,1.6192848238680908,logF,2.2120865063808464,KL+logF,0.9761181332036947,0.9824380165289256,0.7829234828477138
frm,144,0.3819444444444444,-0.9663545206219394,1.9546807756108457,1.1931859965395586,KL knee,2.62338297777057,1.5170886780613675,logF,2.3824217792503117,KLlog+logF,0.9959141981613892,0.9957099080694586,0.9352020971655367
