fam,n,R_M,R_C,R_MC,unique_M,unique_C,shared
lrsw,180,0.785378307625414,0.7385550666927003,0.8157144285190965,0.07715936182639616,0.030336120893682428,0.7082189457990178
lrswm,120,0.7474707663612659,0.8557112580784165,0.859839399743016,0.004128141664599516,0.11236863338175018,0.7433426246966663
qwsw,93,0.696253692447208,0.40588855958632863,0.7007600238103929,0.2948714642240643,0.004506331363184901,0.40138222822314373
qwswm,99,0.678978535483022,0.6267100834244397,0.7167760815506703,0.09006599812623062,0.03779754606764829,0.5889125373567914
frc,275,0.860805658065445,0.7371976168307413,0.8819766526347883,0.14477903580404705,0.02117099456934335,0.7160266222613978
frm,144,0.8630682944684611,0.8135334249057573,0.8761476247695899,0.06261419986383254,0.013079330301128733,0.8004540946046286
