model,n_trained,accuracy,psc,nsc,psc_count,nsc_count
meta-llama_Llama-3.2-3B_randlora_tr3000_randlora_r512,3000,0.23426666666666668,1254.0,3299.0,1254,3299
meta-llama_Llama-3.2-3B_randlora_tr4000_randlora_r512,4000,0.11065000000000001,419.0,10353.0,419,10353
meta-llama_Llama-3.2-3B_randlora_tr5000_randlora_r512,5000,0.07647999999999999,254.0,14967.0,254,14967
