fam,dataset,peak_acc,peak_logfd,collapse_onset_logfd,r_below_knee,r_above_knee
lrsw,boolq,70.5512037037037,-0.19041525449178018,0.15004352772088367,0.5466247325995164,-0.6418495622486852
lrsw,piqa,80.84638888888888,-0.1530029814863431,0.08861460379245406,0.45151106764410825,-0.7399696689992133
lrsw,social_i_qa,78.34740740740742,-0.033871313111999896,0.1815691063750501,0.39901993396927454,-0.8478683081563516
lrsw,hellaswag,84.46518518518518,-0.19041525449178018,-0.034476402106416074,0.6875296611169139,-0.848737771553314
lrsw,winogrande,80.92555555555555,-0.1530029814863431,0.087243585960872,0.5478226645357823,-0.7352313623343754
lrsw,ARC_Easy,79.93037037037037,-0.1530029814863431,0.087243585960872,0.5159536276995411,-0.8604622424649144
lrsw,ARC_Challenge,65.46898148148148,-0.19041525449178018,0.06930586141860974,0.5356172192332157,-0.8170693955077064
lrsw,openbookqa,78.72037037037038,-0.1530029814863431,0.087243585960872,0.5470522863299344,-0.8729321945476367
frc,boolq,70.87944444444445,-0.21129606071206933,0.0821885751833729,0.5242009177279119,-0.7716369028421985
frc,piqa,80.71081481481481,-0.09534402702560113,0.0821885751833729,0.29241147631803294,-0.7618557804992898
frc,social_i_qa,78.36061111111111,-0.09534402702560113,0.1788234115374818,0.1474846902384144,-0.6505183231029211
frc,hellaswag,86.49657407407408,-0.21129606071206933,-0.06983861300782937,0.41786023901071406,-0.8751008097595168
frc,winogrande,80.71322222222223,-0.09534402702560113,0.14756307812838615,0.34219594518943086,-0.7785324012945221
frc,ARC_Easy,82.25148148148148,-0.21129606071206933,-0.004052904329230634,0.2062394980262158,-0.8876522537720414
frc,ARC_Challenge,67.53203703703703,-0.21129606071206933,-0.004052904329230634,0.20374352718206185,-0.9036430720328966
frc,openbookqa,79.32592592592592,-0.21129606071206933,0.05390987959893918,0.2560545425411639,-0.8359165922049346
qwsw,boolq,73.54157407407406,-0.4663082771066896,-0.16270734076899143,0.6122732280991665,-0.6201355179022726
qwsw,piqa,89.75361111111111,-0.886856614208711,-0.7793689805519078,-0.24201612579044327,-0.37064625292144243
qwsw,social_i_qa,79.99648148148148,-0.8778428780819558,-0.11222754679720504,0.4502105485118487,-0.5556313971851341
qwsw,hellaswag,94.62907407407408,-0.8666491461554777,-0.42132125986146945,0.41808804828103613,-0.6725298145670948
qwsw,winogrande,85.8024074074074,-0.7320135113458699,-0.16270734076899143,0.6342792403066261,-0.6217126130510149
qwsw,ARC_Easy,94.93444444444442,-0.969536012032405,-0.6908828887336885,-0.3135033583438221,-0.5506125411067956
qwsw,ARC_Challenge,88.3062962962963,-0.969536012032405,-0.7320135113458699,-0.3364294184003968,-0.6658314968755374
qwsw,openbookqa,90.8111111111111,-0.8778428780819558,-0.2725448481638197,0.2803006153788335,-0.620773374690832
