rn,fam,seed,cell,method,fd,logfd,ret,ret_broad,adapt,adapt_task,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,dw_sv_max,dw_sv_mean,lr,wd,clora_k,rank,quarantined,straggler,in_family,cs_boolq,cs_piqa,cs_social_i_qa,cs_hellaswag,cs_winogrande,cs_ARC_Easy,cs_ARC_Challenge,cs_openbookqa,forgetting_ce,base_entropy,forgetting_kl,fro_total,spec_max,spec_mean,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,ein_top_w,ein_bot_w,amp_top_w
frc_lorawd_wd0_lr5e4_c256_s42,frc,42.0,frc_lorawd_wd0_lr5e4_c256,lorawd,1.1427,0.057932227380608686,17.46,26.06,71.03,cs,27.03,7.88,25.57,34.04,35.77,157.9087,22.7888,0.0005,0.0,,,False,False,True,66.97,78.24,77.74,61.46,78.22,74.54,58.7,72.4,2.895038447978181,1.8520239240816387,1.0430145238965425,960.7961276751789,157.904541015625,22.79149485230446,12.644624221499173,25.9771977079247,0.07383585690696207,0.045683793570102264,0.06850113199585621,0.0509647047577948,0.0678174260678855
d1_clean_lr1e2,d1,,d1_clean_lr1e2,clean,0.3948,-0.4036228560024009,23.99,,50.28,,34.26,13.73,,,,8.1279,3.4965,0.01,,,,False,False,False,7.03,65.34,63.72,35.69,68.03,62.46,40.61,59.4,,,,,,,,,,,,,
qwswm_lora_r16_lr2e5_s42,qwswm,42.0,qwswm_lora_r16_lr2e5,lora,0.0393,-1.4056074496245734,43.54,53.55,53.9,gsm8k,47.8,39.29,72.15,51.11,57.42,2.2147,0.5417,2e-05,,,16.0,False,False,True,,,,,,,,,,,,11.217937104751318,2.2182857990264893,0.5421806353543486,2.3067684688697745,6.594309615073038,0.12427729631848854,0.10618999205289628,0.10309883694022305,0.05505497125204411,0.08456595065091704
clora_k1024_FULLre,clora,,clora_k1024_FULLre,k1024,0.4568,-0.34027390476220837,24.85,,79.84,,33.53,16.17,,,,21.9637,9.7477,,,1024.0,,False,False,False,71.13,82.48,79.79,89.52,82.79,82.66,69.37,81.0,,,,,,,,,,,,,
lrsw_lora_null_r16_lr5e4_s42,lrsw,42.0,lrsw_lora_null_r16_lr5e4,lora_null,0.6956,-0.15764042666932515,23.64,30.97,78.93,cs,33.22,14.06,33.34,39.25,34.98,54.6211,15.6906,0.0005,,,16.0,False,False,True,69.69,82.81,78.35,88.3,83.5,81.02,67.75,80.0,2.3798914991341413,1.8520239240816387,0.5278675750525026,569.0900408972122,54.620399475097656,15.691673791408538,8.442282067974523,15.537637517312778,0.08795392465950556,0.04184925525606309,0.06989999379376445,0.05135338207881197,0.0752491606572913
mtxm_lorawd_wd0p0_s44,mtxm,44.0,mtxm_lorawd_wd0p0,lorawd,0.602,-0.22040350874217546,22.32,32.14,51.4,gsm8k,30.72,13.91,35.41,37.03,43.62,32.9198,13.5216,,0.0,,,False,False,False,,,,,,,,,2.4380671177814137,1.8100692116929957,0.627997906088418,432.4549213832217,32.93451690673828,13.525231799483299,6.454425887449035,19.793144614121523,0.0649691987278676,0.04806832196318727,0.07283987730456462,0.05052121858723948,0.06452017410288889
frc_sclora_lr3e4_c256_s44,frc,44.0,frc_sclora_lr3e4_c256,sclora,1.0202,0.008685319195168106,15.11,24.18,62.69,cs,23.74,6.48,23.38,33.7,33.6,76.9042,15.2035,0.00030000000000000003,,,,False,False,True,63.46,49.84,68.83,35.15,69.38,76.47,60.41,78.0,2.8106825725104674,1.8100692116929957,1.0006133608174717,747.7122979265256,76.90345764160156,15.205277943611145,16.167007771694582,32.04643872783862,0.07582430146145833,0.04303762065604635,0.2588713876202251,0.024464066770325792,0.13042125330347115
lrsw_lorawd_wd0p3_lr2e4_s43,lrsw,43.0,lrsw_lorawd_wd0p3_lr2e4,lorawd,0.3017,-0.5204246898250116,26.43,35.28,77.05,cs,33.05,19.81,45.86,41.72,35.95,17.2927,6.9479,0.0002,0.3,,,False,False,True,73.55,83.9,77.18,61.76,83.5,85.02,69.88,81.6,1.974055195068709,1.8100692116929957,0.16398598337571335,195.61307547633336,17.298202514648438,6.95076457709074,4.94212668354264,15.718151370403422,0.07124328505251962,0.04838408775718293,0.08598659237821449,0.04842689992396685,0.07102318785225788
frc_milora_a1r_lr1e3_c256_s43,frc,43.0,frc_milora_a1r_lr1e3_c256,milora,1.5126,0.17972409606008952,17.33,24.97,66.12,cs,26.05,8.61,22.95,31.91,35.35,229.3391,28.0612,0.001,,,,False,False,True,64.62,72.74,74.21,58.08,72.53,66.37,50.6,69.8,3.1496052964456784,1.8100692116929957,1.3395360847526827,1280.8884182418708,229.33851623535156,28.063557440042494,14.955367904909098,27.047863356003443,0.07876495023226798,0.04924626081070909,0.06906823145273228,0.05502380597150696,0.07140187715653103
frc_lorawd_wd0p5_lr7e4_c256_s43,frc,43.0,frc_lorawd_wd0p5_lr7e4_c256,lorawd,0.2858,-0.5439377755450485,26.5,33.24,82.09,cs,33.17,19.83,42.15,37.46,33.59,30.5557,4.7034,0.0007,0.5,,,False,False,True,73.55,84.28,81.12,92.84,85.0,86.57,70.99,82.4,1.9074292571940026,1.8100692116929957,0.09736004550100685,171.1909381310604,30.555404663085938,4.703829218447209,8.859673641398349,21.561587712091,0.07637520759874904,0.04626766355263379,0.08927806252293322,0.04791182318906365,0.07525700073702757
frm_lorawd_wd0p5_lr7e4_c256_s42,frm,42.0,frm_lorawd_wd0p5_lr7e4_c256,lorawd,57.2227,1.7575683457348292,0.0,19.68,0.99,math_faithful,0.0,0.0,22.95,26.45,49.0,2963.7412,77.5219,0.0007,0.5,,,True,False,True,,,,,,,,,10.745821770107991,1.8520239240816387,8.893797846026352,4561.905054653009,2963.794921875,77.59427055120469,1.022159591751411,1.051496913902997,0.05793215349057544,0.05716040219421971,0.0924666066627772,0.05505573199296254,0.06915335702127957
lrswm_lorawd_wd0p3_lr2e4_s44,lrswm,44.0,lrswm_lorawd_wd0p3_lr2e4,lorawd,0.2839,-0.5468346074741428,25.58,33.17,49.2,gsm8k,33.25,17.91,31.44,42.24,41.03,17.6796,6.2995,0.0002,0.3,,,False,False,True,,,,,,,,,2.031978237363412,1.8100692116929957,0.22190902567041637,179.54836237395995,17.69582748413086,6.302006554603577,4.92337137108761,16.12909331078001,0.06837757931064266,0.05027215802415694,0.08213523589508041,0.04990456032116426,0.06816371844995574
