fam,bin,fd,adapt,ret,n,d_adapt,d_ret,ret_paid_per_adapt_point
lrsw,0,0.19716439745833048,50.777727272727276,26.715681818181817,11.0,,,
lrsw,1,0.25291497242200706,59.395378787878784,27.000984848484848,11.0,8.617651515151508,0.28530303030303017,-0.03310681916081335
lrsw,2,0.4031917046201619,66.81775,25.391333333333332,10.0,7.42237121212122,-1.6096515151515156,0.21686486287870496
lrsw,3,0.678359099978615,76.4630303030303,21.80530303030303,11.0,9.64528030303029,-3.5860303030303022,0.37179119635368885
lrsw,4,1.519039637415258,61.25598484848485,11.72121212121212,11.0,-15.207045454545444,-10.084090909090909,-0.6631196664225618
frc,0,0.24940603989618967,63.28077777777778,26.875744444444443,15.0,,,
frc,1,0.3777387308879123,70.97977380952382,25.580940476190477,14.0,7.6989960317460415,-1.2948039682539658,0.168178287521512
frc,2,0.5441666604006301,75.75353571428572,23.744916666666665,14.0,4.773761904761898,-1.8360238095238124,0.38460732775389395
frc,3,0.7589793238551131,76.18715476190475,20.942559523809525,14.0,0.43361904761903247,-2.80235714285714,6.4627168899628815
frc,4,1.5069401850249453,60.614202380952385,12.33575,14.0,-15.572952380952366,-8.606809523809524,-0.5526768022701148
qwsw,0,0.10650237745971254,85.58305555555556,38.86416666666667,12.0,,,
qwsw,1,0.1352,86.38484848484849,39.10363636363636,11.0,0.8017929292929296,0.23946969696969234,-0.2986677584957895
qwsw,2,0.2170412752677924,83.99145833333334,39.00743055555556,12.0,-2.393390151515149,-0.09620580808080348,-0.040196458575673444
qwsw,3,0.3651829090032786,84.07075757575757,32.64780303030303,11.0,0.07929924242422715,-6.359627525252527,80.19783456732699
qwsw,4,0.7286727962996993,74.68555555555555,12.337222222222222,12.0,-9.385202020202016,-20.310580808080807,-2.1641069381736786
lrswm,0,0.2507663699716971,42.89481481481481,25.32148148148148,9.0,,,
lrswm,1,0.3203850916489914,41.54625,25.206666666666667,8.0,-1.3485648148148073,-0.11481481481481381,-0.08513852174808584
lrswm,2,0.3549668609730195,45.012708333333336,24.74125,8.0,3.4664583333333354,-0.46541666666666615,0.1342628763747819
lrswm,3,0.5079964609639749,49.077083333333334,22.695625,8.0,4.064374999999998,-2.045625000000001,0.503306166384746
lrswm,4,0.9643617060003992,44.71074074074074,18.290925925925926,9.0,-4.366342592592595,-4.404699074074074,-1.0087845790081955
frm,0,0.26804532377264245,66.20633333333333,25.479,10.0,,,
frm,1,0.41539295846476765,65.2215,24.173666666666666,10.0,-0.9848333333333272,-1.3053333333333335,-1.3254357759350228
frm,2,0.5551017498126894,64.01592592592593,21.742222222222225,9.0,-1.2055740740740788,-2.431444444444441,-2.016835378872818
frm,3,0.9715827411963592,60.45925,19.04025,10.0,-3.55667592592593,-2.701972222222224,-0.7596903059192283
frm,4,2.4321054503847956,49.946,10.672333333333333,10.0,-10.51325,-8.367916666666668,-0.7959400439128403
qwswm,0,0.03936619279946235,56.340833333333336,43.44694444444445,12.0,,,
qwswm,1,0.06617107941544369,63.29097222222222,43.89277777777778,12.0,6.950138888888887,0.44583333333333286,-0.06414739913271113
qwswm,2,0.10931851725005287,66.63722222222222,44.11083333333334,12.0,3.3462499999999977,0.21805555555555856,-0.06516415556385766
qwswm,3,0.1798416158358638,65.09333333333333,42.07527777777778,12.0,-1.5438888888888869,-2.035555555555561,-1.3184598776538377
qwswm,4,0.47860443468799446,57.09305555555556,26.890694444444446,12.0,-8.000277777777775,-15.184583333333332,-1.89800701364536
