fam,knee_logfd,knee_fd,knee_own_fit,n_below,n_above,peak_adapt,peak_adapt_below_knee,frac_free,ret_at_global_peak,ret_at_free_peak,base_ret,ret_cost_global,ret_cost_free
lrsw,-0.02,0.954992586021436,0.2987357740785622,43,11,81.75,81.75,1.0,25.8575,25.8575,25.89,0.03249999999999886,0.03249999999999886
frc,-0.45,0.35481338923357547,-0.45141912315745353,21,50,81.8575,81.41333333333334,0.9945739038369525,25.942500000000003,26.833333333333332,25.89,-0.05250000000000199,-0.9433333333333316
qwsw,-0.69,0.20417379446695297,-0.6144510729952916,26,32,87.77,87.77,1.0,39.92,39.92,44.35,4.43,4.43
lrswm,-0.48,0.3311311214825911,-0.47928730021244303,17,25,59.095,58.53,0.9904391234452999,22.67,24.56,25.89,3.219999999999999,1.3300000000000018
frm,-0.5,0.31622776601683794,0.42919175450195196,8,41,68.48333333333333,68.48333333333333,1.0,26.0,26.0,25.89,-0.10999999999999943,-0.10999999999999943
qwswm,-0.91,0.12302687708123815,-0.8411599857243066,36,24,77.23,77.23,1.0,43.14000000000001,43.14000000000001,44.35,1.2099999999999937,1.2099999999999937
